id,aphid,treatment,rt,peak.area,conc.tot,conc.ind
CG19-14,Brevicoryne,Plant,16.25,154123,9.4,3.1
CG19-23,Brevicoryne,Plant,16.24,77839,4.7,1.6
CG19-24,Brevicoryne,Plant,16.24,204238,12.4,4.1
CG19-09,Myzus,Plant,16.24,4783237,291.0,97.0
CG19-13,Myzus,Plant,16.25,2653330,161.4,53.8
CG19-26,Myzus,Plant,16.24,3224152,196.1,65.4
CG19-28,Brevicoryne,AD+SA,16.24,295414,18.0,6.0
CG19-31,Brevicoryne,AD+SA,16.24,298222,18.1,6.0
CG19-34,Brevicoryne,AD+SA,16.24,192785,11.7,3.9
CG19-30,Brevicoryne,AD-SA,NA,NA,NA,NA
CG19-32,Brevicoryne,AD-SA,16.24,33358,2.0,0.7
CG19-33,Brevicoryne,AD-SA,16.24,34018,2.1,0.7
CG19-15,Myzus,AD+SA,16.24,4034920,245.5,81.8
CG19-18,Myzus,AD+SA,16.24,2442438,148.6,49.5
CG19-22,Myzus,AD+SA,16.24,5650064,343.7,114.6
CG19-17,Myzus,AD-SA,16.24,51450,3.1,1.0
CG19-20,Myzus,AD-SA,16.24,846354,51.5,17.2
CG19-21,Myzus,AD-SA,16.24,110176,6.7,2.2
